672744.371	3529392.007	6.2351
672744.289	3529391.948	6.2350
672744.209	3529391.888	6.2374
672744.190	3529392.012	6.2335
672744.179	3529392.130	6.2312
672744.169	3529392.243	6.2286
672744.154	3529392.365	6.2259
672744.141	3529392.494	6.2231
672744.127	3529392.594	6.2206
672744.112	3529392.721	6.2166
672744.103	3529392.850	6.2139
672744.090	3529392.969	6.2104
672744.077	3529393.088	6.2074
672744.060	3529393.207	6.2045
672744.045	3529393.334	6.2016
672744.030	3529393.464	6.1986
672744.020	3529393.564	6.1964
672744.004	3529393.666	6.1940
672743.993	3529393.770	6.1918
672743.973	3529393.873	6.1891
672743.956	3529394.004	6.1867
672743.932	3529394.131	6.1824
672743.916	3529394.256	6.1795
672743.897	3529394.384	6.1759
672743.880	3529394.513	6.1725
672743.863	3529394.615	6.1696
672743.845	3529394.724	6.1668
672743.827	3529394.832	6.1640
672743.804	3529394.940	6.1605
672743.784	3529395.043	6.1576
672743.763	3529395.152	6.1540
672743.738	3529395.270	6.1499
672743.718	3529395.402	6.1465
672743.686	3529395.544	6.1418
672743.667	3529395.646	6.1389
672743.652	3529395.749	6.1361
672743.632	3529395.855	6.1331
672743.614	3529395.960	6.1302
672743.594	3529396.066	6.1271
672743.570	3529396.172	6.1238
672743.546	3529396.277	6.1203
672743.521	3529396.381	6.1173
672743.498	3529396.487	6.1143
672743.475	3529396.592	6.1112
672743.451	3529396.699	6.1083
672743.432	3529396.807	6.1061
672743.408	3529396.915	6.1030
672743.381	3529397.020	6.1002
672743.358	3529397.131	6.0972
672743.332	3529397.239	6.0942
672743.300	3529397.342	6.0904
672743.270	3529397.445	6.0886
672743.244	3529397.552	6.0880
672743.219	3529397.654	6.0900
672743.198	3529397.758	6.0962
672743.181	3529397.858	6.1034
672743.168	3529397.957	6.1131
672743.165	3529398.100	6.1278
672743.157	3529398.236	6.1415
672743.162	3529398.369	6.1557
672743.163	3529398.502	6.1702
672743.158	3529398.632	6.1791
672743.157	3529398.770	6.1788
672743.143	3529398.909	6.1767
672743.124	3529399.045	6.1744
